city,year,weekofyear,total_cases
sj,2008,18,22
sj,2008,19,23
sj,2008,20,19
sj,2008,21,16
sj,2008,22,21
sj,2008,23,26
sj,2008,24,25
sj,2008,25,27
sj,2008,26,40
sj,2008,27,42
sj,2008,28,38
sj,2008,29,36
sj,2008,30,44
sj,2008,31,39
sj,2008,32,52
sj,2008,33,51
sj,2008,34,56
sj,2008,35,56
sj,2008,36,59
sj,2008,37,55
sj,2008,38,40
sj,2008,39,39
sj,2008,40,50
sj,2008,41,35
sj,2008,42,31
sj,2008,43,33
sj,2008,44,31
sj,2008,45,36
sj,2008,46,26
sj,2008,47,31
sj,2008,48,29
sj,2008,49,20
sj,2008,50,24
sj,2008,51,28
sj,2008,52,21
sj,2009,1,32
sj,2009,2,19
sj,2009,3,25
sj,2009,4,21
sj,2009,5,26
sj,2009,6,18
sj,2009,7,20
sj,2009,8,19
sj,2009,9,21
sj,2009,10,19
sj,2009,11,30
sj,2009,12,23
sj,2009,13,14
sj,2009,14,23
sj,2009,15,18
sj,2009,16,17
sj,2009,17,20
sj,2009,18,26
sj,2009,19,21
sj,2009,20,30
sj,2009,21,29
sj,2009,22,38
sj,2009,23,32
sj,2009,24,32
sj,2009,25,37
sj,2009,26,35
sj,2009,27,32
sj,2009,28,45
sj,2009,29,43
sj,2009,30,50
sj,2009,31,55
sj,2009,32,50
sj,2009,33,49
sj,2009,34,49
sj,2009,35,50
sj,2009,36,52
sj,2009,37,56
sj,2009,38,40
sj,2009,39,41
sj,2009,40,49
sj,2009,41,58
sj,2009,42,55
sj,2009,43,56
sj,2009,44,42
sj,2009,45,33
sj,2009,46,39
sj,2009,47,33
sj,2009,48,35
sj,2009,49,27
sj,2009,50,33
sj,2009,51,32
sj,2009,52,26
sj,2010,53,17
sj,2010,1,23
sj,2010,2,20
sj,2010,3,23
sj,2010,4,20
sj,2010,5,24
sj,2010,6,16
sj,2010,7,16
sj,2010,8,26
sj,2010,9,25
sj,2010,10,26
sj,2010,11,25
sj,2010,12,29
sj,2010,13,26
sj,2010,14,27
sj,2010,15,24
sj,2010,16,28
sj,2010,17,45
sj,2010,18,38
sj,2010,19,32
sj,2010,20,41
sj,2010,21,36
sj,2010,22,64
sj,2010,23,49
sj,2010,24,47
sj,2010,25,49
sj,2010,26,48
sj,2010,27,60
sj,2010,28,70
sj,2010,29,52
sj,2010,30,55
sj,2010,31,52
sj,2010,32,68
sj,2010,33,45
sj,2010,34,63
sj,2010,35,52
sj,2010,36,60
sj,2010,37,64
sj,2010,38,45
sj,2010,39,44
sj,2010,40,47
sj,2010,41,54
sj,2010,42,32
sj,2010,43,32
sj,2010,44,40
sj,2010,45,51
sj,2010,46,23
sj,2010,47,26
sj,2010,48,28
sj,2010,49,20
sj,2010,50,17
sj,2010,51,20
sj,2011,52,19
sj,2011,1,23
sj,2011,2,22
sj,2011,3,21
sj,2011,4,17
sj,2011,5,15
sj,2011,6,19
sj,2011,7,18
sj,2011,8,17
sj,2011,9,19
sj,2011,10,19
sj,2011,11,21
sj,2011,12,17
sj,2011,13,21
sj,2011,14,25
sj,2011,15,19
sj,2011,16,22
sj,2011,17,19
sj,2011,18,26
sj,2011,19,24
sj,2011,20,32
sj,2011,21,33
sj,2011,22,44
sj,2011,23,45
sj,2011,24,66
sj,2011,25,65
sj,2011,26,58
sj,2011,27,51
sj,2011,28,55
sj,2011,29,44
sj,2011,30,53
sj,2011,31,46
sj,2011,32,67
sj,2011,33,54
sj,2011,34,64
sj,2011,35,52
sj,2011,36,46
sj,2011,37,54
sj,2011,38,40
sj,2011,39,49
sj,2011,40,57
sj,2011,41,44
sj,2011,42,41
sj,2011,43,30
sj,2011,44,44
sj,2011,45,33
sj,2011,46,34
sj,2011,47,34
sj,2011,48,30
sj,2011,49,28
sj,2011,50,29
sj,2011,51,22
sj,2012,52,23
sj,2012,1,22
sj,2012,2,20
sj,2012,3,18
sj,2012,4,18
sj,2012,5,16
sj,2012,6,17
sj,2012,7,17
sj,2012,8,17
sj,2012,9,19
sj,2012,10,18
sj,2012,11,17
sj,2012,12,18
sj,2012,13,21
sj,2012,14,22
sj,2012,15,23
sj,2012,16,24
sj,2012,17,27
sj,2012,18,33
sj,2012,19,29
sj,2012,20,38
sj,2012,21,30
sj,2012,22,24
sj,2012,23,36
sj,2012,24,32
sj,2012,25,35
sj,2012,26,43
sj,2012,27,43
sj,2012,28,49
sj,2012,29,44
sj,2012,30,46
sj,2012,31,44
sj,2012,32,50
sj,2012,33,55
sj,2012,34,49
sj,2012,35,45
sj,2012,36,37
sj,2012,37,33
sj,2012,38,41
sj,2012,39,54
sj,2012,40,53
sj,2012,41,39
sj,2012,42,64
sj,2012,43,53
sj,2012,44,53
sj,2012,45,43
sj,2012,46,40
sj,2012,47,41
sj,2012,48,31
sj,2012,49,29
sj,2012,50,27
sj,2012,51,23
sj,2013,1,27
sj,2013,2,21
sj,2013,3,24
sj,2013,4,16
sj,2013,5,20
sj,2013,6,18
sj,2013,7,18
sj,2013,8,17
sj,2013,9,16
sj,2013,10,17
sj,2013,11,23
sj,2013,12,21
sj,2013,13,21
sj,2013,14,19
sj,2013,15,23
sj,2013,16,22
sj,2013,17,24
iq,2010,26,7
iq,2010,27,5
iq,2010,28,9
iq,2010,29,2
iq,2010,30,2
iq,2010,31,4
iq,2010,32,4
iq,2010,33,5
iq,2010,34,4
iq,2010,35,6
iq,2010,36,6
iq,2010,37,5
iq,2010,38,4
iq,2010,39,5
iq,2010,40,4
iq,2010,41,4
iq,2010,42,6
iq,2010,43,8
iq,2010,44,12
iq,2010,45,6
iq,2010,46,8
iq,2010,47,9
iq,2010,48,9
iq,2010,49,12
iq,2010,50,8
iq,2010,51,5
iq,2011,52,8
iq,2011,1,6
iq,2011,2,8
iq,2011,3,7
iq,2011,4,6
iq,2011,5,6
iq,2011,6,8
iq,2011,7,8
iq,2011,8,8
iq,2011,9,8
iq,2011,10,9
iq,2011,11,8
iq,2011,12,8
iq,2011,13,10
iq,2011,14,8
iq,2011,15,8
iq,2011,16,8
iq,2011,17,10
iq,2011,18,10
iq,2011,19,5
iq,2011,20,9
iq,2011,21,8
iq,2011,22,7
iq,2011,23,6
iq,2011,24,7
iq,2011,25,5
iq,2011,26,6
iq,2011,27,6
iq,2011,28,3
iq,2011,29,4
iq,2011,30,5
iq,2011,31,4
iq,2011,32,4
iq,2011,33,4
iq,2011,34,2
iq,2011,35,2
iq,2011,36,5
iq,2011,37,6
iq,2011,38,6
iq,2011,39,9
iq,2011,40,6
iq,2011,41,8
iq,2011,42,12
iq,2011,43,8
iq,2011,44,7
iq,2011,45,8
iq,2011,46,9
iq,2011,47,8
iq,2011,48,9
iq,2011,49,10
iq,2011,50,10
iq,2011,51,10
iq,2012,52,10
iq,2012,1,10
iq,2012,2,9
iq,2012,3,7
iq,2012,4,7
iq,2012,5,10
iq,2012,6,11
iq,2012,7,8
iq,2012,8,7
iq,2012,9,6
iq,2012,10,9
iq,2012,11,7
iq,2012,12,6
iq,2012,13,8
iq,2012,14,7
iq,2012,15,12
iq,2012,16,12
iq,2012,17,9
iq,2012,18,9
iq,2012,19,4
iq,2012,20,9
iq,2012,21,6
iq,2012,22,7
iq,2012,23,6
iq,2012,24,3
iq,2012,25,5
iq,2012,26,4
iq,2012,27,5
iq,2012,28,4
iq,2012,29,5
iq,2012,30,3
iq,2012,31,4
iq,2012,32,3
iq,2012,33,3
iq,2012,34,4
iq,2012,35,5
iq,2012,36,4
iq,2012,37,4
iq,2012,38,4
iq,2012,39,5
iq,2012,40,4
iq,2012,41,10
iq,2012,42,6
iq,2012,43,12
iq,2012,44,8
iq,2012,45,8
iq,2012,46,14
iq,2012,47,15
iq,2012,48,15
iq,2012,49,10
iq,2012,50,10
iq,2012,51,12
iq,2013,1,10
iq,2013,2,6
iq,2013,3,9
iq,2013,4,11
iq,2013,5,10
iq,2013,6,11
iq,2013,7,10
iq,2013,8,10
iq,2013,9,9
iq,2013,10,10
iq,2013,11,11
iq,2013,12,15
iq,2013,13,11
iq,2013,14,8
iq,2013,15,9
iq,2013,16,11
iq,2013,17,8
iq,2013,18,3
iq,2013,19,10
iq,2013,20,7
iq,2013,21,8
iq,2013,22,7
iq,2013,23,7
iq,2013,24,6
iq,2013,25,5
iq,2013,26,6
