city,year,weekofyear,total_cases
sj,2008,18,25
sj,2008,19,22
sj,2008,20,17
sj,2008,21,76
sj,2008,22,31
sj,2008,23,17
sj,2008,24,24
sj,2008,25,54
sj,2008,26,35
sj,2008,27,53
sj,2008,28,25
sj,2008,29,48
sj,2008,30,36
sj,2008,31,30
sj,2008,32,77
sj,2008,33,68
sj,2008,34,37
sj,2008,35,63
sj,2008,36,88
sj,2008,37,79
sj,2008,38,67
sj,2008,39,44
sj,2008,40,32
sj,2008,41,47
sj,2008,42,54
sj,2008,43,24
sj,2008,44,47
sj,2008,45,37
sj,2008,46,42
sj,2008,47,58
sj,2008,48,39
sj,2008,49,34
sj,2008,50,14
sj,2008,51,18
sj,2008,52,35
sj,2009,1,42
sj,2009,2,16
sj,2009,3,35
sj,2009,4,43
sj,2009,5,48
sj,2009,6,38
sj,2009,7,32
sj,2009,8,25
sj,2009,9,20
sj,2009,10,20
sj,2009,11,33
sj,2009,12,26
sj,2009,13,24
sj,2009,14,34
sj,2009,15,24
sj,2009,16,29
sj,2009,17,26
sj,2009,18,29
sj,2009,19,30
sj,2009,20,20
sj,2009,21,39
sj,2009,22,34
sj,2009,23,26
sj,2009,24,30
sj,2009,25,29
sj,2009,26,22
sj,2009,27,26
sj,2009,28,38
sj,2009,29,51
sj,2009,30,32
sj,2009,31,55
sj,2009,32,26
sj,2009,33,39
sj,2009,34,58
sj,2009,35,62
sj,2009,36,39
sj,2009,37,78
sj,2009,38,54
sj,2009,39,37
sj,2009,40,96
sj,2009,41,85
sj,2009,42,80
sj,2009,43,37
sj,2009,44,39
sj,2009,45,49
sj,2009,46,44
sj,2009,47,49
sj,2009,48,33
sj,2009,49,58
sj,2009,50,34
sj,2009,51,47
sj,2009,52,32
sj,2010,53,53
sj,2010,1,43
sj,2010,2,60
sj,2010,3,51
sj,2010,4,43
sj,2010,5,40
sj,2010,6,23
sj,2010,7,51
sj,2010,8,22
sj,2010,9,35
sj,2010,10,33
sj,2010,11,20
sj,2010,12,22
sj,2010,13,21
sj,2010,14,20
sj,2010,15,20
sj,2010,16,28
sj,2010,17,26
sj,2010,18,29
sj,2010,19,27
sj,2010,20,29
sj,2010,21,35
sj,2010,22,49
sj,2010,23,57
sj,2010,24,36
sj,2010,25,54
sj,2010,26,74
sj,2010,27,75
sj,2010,28,94
sj,2010,29,83
sj,2010,30,95
sj,2010,31,65
sj,2010,32,106
sj,2010,33,79
sj,2010,34,68
sj,2010,35,90
sj,2010,36,84
sj,2010,37,81
sj,2010,38,71
sj,2010,39,80
sj,2010,40,84
sj,2010,41,85
sj,2010,42,33
sj,2010,43,27
sj,2010,44,38
sj,2010,45,62
sj,2010,46,40
sj,2010,47,25
sj,2010,48,37
sj,2010,49,25
sj,2010,50,35
sj,2010,51,32
sj,2011,52,39
sj,2011,1,37
sj,2011,2,41
sj,2011,3,27
sj,2011,4,24
sj,2011,5,58
sj,2011,6,23
sj,2011,7,26
sj,2011,8,29
sj,2011,9,27
sj,2011,10,23
sj,2011,11,26
sj,2011,12,24
sj,2011,13,18
sj,2011,14,33
sj,2011,15,31
sj,2011,16,20
sj,2011,17,19
sj,2011,18,30
sj,2011,19,24
sj,2011,20,33
sj,2011,21,41
sj,2011,22,12
sj,2011,23,16
sj,2011,24,46
sj,2011,25,51
sj,2011,26,93
sj,2011,27,45
sj,2011,28,46
sj,2011,29,45
sj,2011,30,79
sj,2011,31,64
sj,2011,32,67
sj,2011,33,86
sj,2011,34,87
sj,2011,35,61
sj,2011,36,42
sj,2011,37,87
sj,2011,38,41
sj,2011,39,54
sj,2011,40,78
sj,2011,41,36
sj,2011,42,37
sj,2011,43,38
sj,2011,44,45
sj,2011,45,59
sj,2011,46,44
sj,2011,47,38
sj,2011,48,42
sj,2011,49,30
sj,2011,50,50
sj,2011,51,41
sj,2012,52,36
sj,2012,1,22
sj,2012,2,28
sj,2012,3,38
sj,2012,4,47
sj,2012,5,31
sj,2012,6,24
sj,2012,7,39
sj,2012,8,27
sj,2012,9,22
sj,2012,10,29
sj,2012,11,23
sj,2012,12,28
