city,year,weekofyear,total_cases
sj,2008,18,50
sj,2008,19,7
sj,2008,20,57
sj,2008,21,10
sj,2008,22,17
sj,2008,23,0
sj,2008,24,18
sj,2008,25,67
sj,2008,26,11
sj,2008,27,36
sj,2008,28,38
sj,2008,29,8
sj,2008,30,14
sj,2008,31,5
sj,2008,32,40
sj,2008,33,17
sj,2008,34,37
sj,2008,35,6
sj,2008,36,84
sj,2008,37,41
sj,2008,38,33
sj,2008,39,40
sj,2008,40,72
sj,2008,41,72
sj,2008,42,31
sj,2008,43,23
sj,2008,44,154
sj,2008,45,4
sj,2008,46,63
sj,2008,47,29
sj,2008,48,132
sj,2008,49,8
sj,2008,50,10
sj,2008,51,34
sj,2008,52,23
sj,2009,1,54
sj,2009,2,18
sj,2009,3,54
sj,2009,4,13
sj,2009,5,21
sj,2009,6,42
sj,2009,7,32
sj,2009,8,26
sj,2009,9,11
sj,2009,10,32
sj,2009,11,4
sj,2009,12,14
sj,2009,13,8
sj,2009,14,34
sj,2009,15,7
sj,2009,16,8
sj,2009,17,7
sj,2009,18,7
sj,2009,19,6
sj,2009,20,22
sj,2009,21,4
sj,2009,22,17
sj,2009,23,19
sj,2009,24,10
sj,2009,25,110
sj,2009,26,95
sj,2009,27,9
sj,2009,28,13
sj,2009,29,14
sj,2009,30,12
sj,2009,31,10
sj,2009,32,16
sj,2009,33,16
sj,2009,34,83
sj,2009,35,87
sj,2009,36,43
sj,2009,37,23
sj,2009,38,51
sj,2009,39,24
sj,2009,40,178
sj,2009,41,57
sj,2009,42,6
sj,2009,43,35
sj,2009,44,100
sj,2009,45,14
sj,2009,46,29
sj,2009,47,86
sj,2009,48,4
sj,2009,49,21
sj,2009,50,36
sj,2009,51,35
sj,2009,52,26
sj,2010,53,92
sj,2010,1,21
sj,2010,2,37
sj,2010,3,18
sj,2010,4,21
sj,2010,5,143
sj,2010,6,46
sj,2010,7,26
sj,2010,8,10
sj,2010,9,15
sj,2010,10,4
sj,2010,11,20
sj,2010,12,8
sj,2010,13,6
sj,2010,14,8
sj,2010,15,10
sj,2010,16,13
sj,2010,17,23
sj,2010,18,53
sj,2010,19,46
sj,2010,20,54
sj,2010,21,50
sj,2010,22,8
sj,2010,23,29
sj,2010,24,29
sj,2010,25,21
sj,2010,26,61
sj,2010,27,35
sj,2010,28,129
sj,2010,29,34
sj,2010,30,7
sj,2010,31,46
sj,2010,32,18
sj,2010,33,35
sj,2010,34,160
sj,2010,35,46
sj,2010,36,68
sj,2010,37,35
sj,2010,38,7
sj,2010,39,7
sj,2010,40,13
sj,2010,41,14
sj,2010,42,48
sj,2010,43,7
sj,2010,44,13
sj,2010,45,40
sj,2010,46,28
sj,2010,47,72
sj,2010,48,92
sj,2010,49,6
sj,2010,50,6
sj,2010,51,7
sj,2011,52,10
sj,2011,1,17
sj,2011,2,36
sj,2011,3,14
sj,2011,4,11
sj,2011,5,12
sj,2011,6,37
sj,2011,7,16
sj,2011,8,33
sj,2011,9,11
sj,2011,10,21
sj,2011,11,15
sj,2011,12,19
sj,2011,13,32
sj,2011,14,164
sj,2011,15,26
sj,2011,16,10
sj,2011,17,5
sj,2011,18,20
sj,2011,19,10
sj,2011,20,40
sj,2011,21,31
sj,2011,22,13
sj,2011,23,22
sj,2011,24,434
sj,2011,25,76
sj,2011,26,14
sj,2011,27,50
sj,2011,28,118
sj,2011,29,46
sj,2011,30,34
sj,2011,31,151
sj,2011,32,27
sj,2011,33,34
sj,2011,34,48
sj,2011,35,28
sj,2011,36,40
sj,2011,37,37
sj,2011,38,22
sj,2011,39,78
sj,2011,40,22
sj,2011,41,16
sj,2011,42,33
sj,2011,43,37
sj,2011,44,27
sj,2011,45,38
sj,2011,46,16
sj,2011,47,68
sj,2011,48,25
sj,2011,49,16
sj,2011,50,15
sj,2011,51,11
sj,2012,52,4
sj,2012,1,29
sj,2012,2,18
sj,2012,3,29
sj,2012,4,37
sj,2012,5,26
sj,2012,6,20
sj,2012,7,13
sj,2012,8,21
sj,2012,9,10
sj,2012,10,65
sj,2012,11,10
