city,year,weekofyear,total_cases
sj,2008,18,33
sj,2008,19,30
sj,2008,20,18
sj,2008,21,28
sj,2008,22,33
sj,2008,23,53
sj,2008,24,26
sj,2008,25,32
sj,2008,26,35
sj,2008,27,35
sj,2008,28,43
sj,2008,29,32
sj,2008,30,39
sj,2008,31,29
sj,2008,32,34
sj,2008,33,9
sj,2008,34,33
sj,2008,35,40
sj,2008,36,33
sj,2008,37,33
sj,2008,38,30
sj,2008,39,33
sj,2008,40,34
sj,2008,41,26
sj,2008,42,33
sj,2008,43,33
sj,2008,44,18
sj,2008,45,32
sj,2008,46,35
sj,2008,47,32
sj,2008,48,32
sj,2008,49,32
sj,2008,50,0
sj,2008,51,31
sj,2008,52,48
sj,2009,1,29
sj,2009,2,12
sj,2009,3,22
sj,2009,4,28
sj,2009,5,18
sj,2009,6,8
sj,2009,7,24
sj,2009,8,17
sj,2009,9,19
sj,2009,10,31
sj,2009,11,33
sj,2009,12,28
sj,2009,13,31
sj,2009,14,19
sj,2009,15,2
sj,2009,16,5
sj,2009,17,33
sj,2009,18,34
sj,2009,19,17
sj,2009,20,38
sj,2009,21,32
sj,2009,22,32
sj,2009,23,33
sj,2009,24,33
sj,2009,25,33
sj,2009,26,33
sj,2009,27,22
sj,2009,28,32
sj,2009,29,28
sj,2009,30,14
sj,2009,31,32
sj,2009,32,28
sj,2009,33,30
sj,2009,34,33
sj,2009,35,42
sj,2009,36,33
sj,2009,37,34
sj,2009,38,33
sj,2009,39,28
sj,2009,40,27
sj,2009,41,35
sj,2009,42,28
sj,2009,43,29
sj,2009,44,36
sj,2009,45,31
sj,2009,46,33
sj,2009,47,33
sj,2009,48,33
sj,2009,49,31
sj,2009,50,14
sj,2009,51,27
sj,2009,52,26
sj,2010,53,31
sj,2010,1,30
sj,2010,2,31
sj,2010,3,33
sj,2010,4,29
sj,2010,5,33
sj,2010,6,11
sj,2010,7,17
sj,2010,8,32
sj,2010,9,31
sj,2010,10,33
sj,2010,11,50
sj,2010,12,10
sj,2010,13,38
sj,2010,14,28
sj,2010,15,4
sj,2010,16,41
sj,2010,17,27
sj,2010,18,26
sj,2010,19,33
sj,2010,20,33
sj,2010,21,41
sj,2010,22,33
sj,2010,23,32
sj,2010,24,28
sj,2010,25,33
sj,2010,26,33
sj,2010,27,38
sj,2010,28,56
sj,2010,29,33
sj,2010,30,33
sj,2010,31,28
sj,2010,32,33
sj,2010,33,33
sj,2010,34,28
sj,2010,35,33
sj,2010,36,41
sj,2010,37,33
sj,2010,38,33
sj,2010,39,33
sj,2010,40,33
sj,2010,41,33
sj,2010,42,32
sj,2010,43,56
sj,2010,44,33
sj,2010,45,33
sj,2010,46,29
sj,2010,47,21
sj,2010,48,33
sj,2010,49,34
sj,2010,50,33
sj,2010,51,33
sj,2011,52,32
sj,2011,1,32
sj,2011,2,31
sj,2011,3,30
sj,2011,4,47
sj,2011,5,10
sj,2011,6,18
sj,2011,7,32
sj,2011,8,10
sj,2011,9,29
sj,2011,10,18
sj,2011,11,25
sj,2011,12,48
sj,2011,13,32
sj,2011,14,27
sj,2011,15,14
sj,2011,16,31
sj,2011,17,9
sj,2011,18,33
sj,2011,19,30
sj,2011,20,33
sj,2011,21,33
sj,2011,22,33
sj,2011,23,28
sj,2011,24,33
sj,2011,25,31
sj,2011,26,40
sj,2011,27,33
sj,2011,28,33
sj,2011,29,32
sj,2011,30,31
sj,2011,31,32
sj,2011,32,33
sj,2011,33,33
sj,2011,34,33
sj,2011,35,33
sj,2011,36,32
sj,2011,37,28
sj,2011,38,33
sj,2011,39,30
sj,2011,40,33
sj,2011,41,33
sj,2011,42,47
sj,2011,43,33
sj,2011,44,33
sj,2011,45,33
sj,2011,46,38
sj,2011,47,34
sj,2011,48,35
sj,2011,49,33
sj,2011,50,33
sj,2011,51,28
sj,2012,52,33
sj,2012,1,35
sj,2012,2,6
sj,2012,3,6
sj,2012,4,32
sj,2012,5,25
sj,2012,6,32
sj,2012,7,16
sj,2012,8,29
sj,2012,9,15
sj,2012,10,24
sj,2012,11,23
sj,2012,12,29
sj,2012,13,33
sj,2012,14,33
sj,2012,15,29
sj,2012,16,33
sj,2012,17,29
sj,2012,18,29
sj,2012,19,32
sj,2012,20,33
sj,2012,21,32
sj,2012,22,33
sj,2012,23,23
sj,2012,24,35
sj,2012,25,29
sj,2012,26,32
sj,2012,27,31
sj,2012,28,30
sj,2012,29,38
sj,2012,30,33
sj,2012,31,40
sj,2012,32,32
sj,2012,33,32
sj,2012,34,33
sj,2012,35,33
sj,2012,36,44
sj,2012,37,53
sj,2012,38,34
sj,2012,39,54
sj,2012,40,33
sj,2012,41,31
sj,2012,42,37
sj,2012,43,29
sj,2012,44,33
sj,2012,45,31
sj,2012,46,33
sj,2012,47,34
sj,2012,48,59
sj,2012,49,33
sj,2012,50,30
sj,2012,51,22
sj,2013,1,28
sj,2013,2,0
sj,2013,3,12
sj,2013,4,15
sj,2013,5,33
sj,2013,6,28
sj,2013,7,25
sj,2013,8,4
sj,2013,9,6
sj,2013,10,13
sj,2013,11,20
sj,2013,12,29
sj,2013,13,31
sj,2013,14,33
sj,2013,15,29
sj,2013,16,33
sj,2013,17,31
iq,2010,26,10
iq,2010,27,9
iq,2010,28,15
iq,2010,29,4
iq,2010,30,1
iq,2010,31,8
iq,2010,32,5
iq,2010,33,2
iq,2010,34,5
iq,2010,35,2
iq,2010,36,10
