city,year,weekofyear,total_cases
sj,2008,18,18
sj,2008,19,21
sj,2008,20,9
sj,2008,21,5
sj,2008,22,26
sj,2008,23,40
sj,2008,24,7
sj,2008,25,21
sj,2008,26,1
sj,2008,27,25
sj,2008,28,11
sj,2008,29,18
sj,2008,30,15
sj,2008,31,23
sj,2008,32,45
sj,2008,33,15
sj,2008,34,22
sj,2008,35,30
sj,2008,36,18
sj,2008,37,32
sj,2008,38,32
sj,2008,39,30
sj,2008,40,35
sj,2008,41,21
sj,2008,42,53
sj,2008,43,42
sj,2008,44,16
sj,2008,45,27
sj,2008,46,14
sj,2008,47,18
sj,2008,48,17
sj,2008,49,11
sj,2008,50,9
sj,2008,51,25
sj,2008,52,18
sj,2009,1,22
sj,2009,2,13
sj,2009,3,11
sj,2009,4,7
sj,2009,5,19
sj,2009,6,12
sj,2009,7,14
sj,2009,8,6
sj,2009,9,11
sj,2009,10,11
sj,2009,11,19
sj,2009,12,20
sj,2009,13,-1
sj,2009,14,4
sj,2009,15,9
sj,2009,16,4
sj,2009,17,25
sj,2009,18,9
sj,2009,19,13
sj,2009,20,24
sj,2009,21,19
sj,2009,22,23
sj,2009,23,39
sj,2009,24,18
sj,2009,25,12
sj,2009,26,22
sj,2009,27,25
sj,2009,28,44
sj,2009,29,15
sj,2009,30,10
sj,2009,31,26
sj,2009,32,18
sj,2009,33,12
sj,2009,34,28
sj,2009,35,54
sj,2009,36,21
sj,2009,37,34
sj,2009,38,29
sj,2009,39,13
sj,2009,40,16
sj,2009,41,52
sj,2009,42,15
sj,2009,43,9
sj,2009,44,15
sj,2009,45,11
sj,2009,46,27
sj,2009,47,32
sj,2009,48,47
sj,2009,49,26
sj,2009,50,13
sj,2009,51,11
sj,2009,52,12
sj,2010,53,23
sj,2010,1,28
sj,2010,2,36
sj,2010,3,30
sj,2010,4,19
sj,2010,5,17
sj,2010,6,7
sj,2010,7,13
sj,2010,8,45
sj,2010,9,15
sj,2010,10,20
sj,2010,11,30
sj,2010,12,13
sj,2010,13,9
sj,2010,14,16
sj,2010,15,15
sj,2010,16,39
sj,2010,17,34
sj,2010,18,13
sj,2010,19,11
sj,2010,20,33
sj,2010,21,56
sj,2010,22,30
sj,2010,23,11
sj,2010,24,16
sj,2010,25,29
sj,2010,26,35
sj,2010,27,33
sj,2010,28,37
sj,2010,29,21
sj,2010,30,36
sj,2010,31,20
sj,2010,32,48
sj,2010,33,35
sj,2010,34,39
sj,2010,35,29
sj,2010,36,35
sj,2010,37,38
sj,2010,38,42
sj,2010,39,30
sj,2010,40,40
sj,2010,41,31
sj,2010,42,7
sj,2010,43,24
sj,2010,44,35
sj,2010,45,30
sj,2010,46,16
sj,2010,47,3
sj,2010,48,19
sj,2010,49,19
sj,2010,50,30
sj,2010,51,30
sj,2011,52,8
sj,2011,1,1
sj,2011,2,20
sj,2011,3,21
sj,2011,4,19
sj,2011,5,13
sj,2011,6,13
sj,2011,7,24
sj,2011,8,17
sj,2011,9,12
sj,2011,10,13
sj,2011,11,8
sj,2011,12,19
sj,2011,13,24
sj,2011,14,14
sj,2011,15,11
sj,2011,16,8
sj,2011,17,7
sj,2011,18,20
sj,2011,19,16
sj,2011,20,30
sj,2011,21,30
sj,2011,22,36
sj,2011,23,21
sj,2011,24,30
sj,2011,25,23
sj,2011,26,44
sj,2011,27,36
sj,2011,28,42
sj,2011,29,10
sj,2011,30,16
sj,2011,31,25
sj,2011,32,29
sj,2011,33,27
sj,2011,34,30
sj,2011,35,30
sj,2011,36,32
sj,2011,37,25
sj,2011,38,41
sj,2011,39,14
sj,2011,40,32
sj,2011,41,19
sj,2011,42,35
sj,2011,43,38
sj,2011,44,17
sj,2011,45,34
sj,2011,46,32
sj,2011,47,69
sj,2011,48,33
sj,2011,49,27
sj,2011,50,30
sj,2011,51,21
sj,2012,52,40
sj,2012,1,12
sj,2012,2,14
sj,2012,3,9
sj,2012,4,22
sj,2012,5,22
sj,2012,6,15
sj,2012,7,13
sj,2012,8,27
sj,2012,9,10
sj,2012,10,16
sj,2012,11,16
sj,2012,12,7
sj,2012,13,32
sj,2012,14,50
sj,2012,15,21
sj,2012,16,31
sj,2012,17,25
sj,2012,18,15
sj,2012,19,9
sj,2012,20,30
sj,2012,21,21
sj,2012,22,12
sj,2012,23,13
sj,2012,24,12
sj,2012,25,14
sj,2012,26,18
sj,2012,27,15
sj,2012,28,8
sj,2012,29,40
sj,2012,30,17
sj,2012,31,17
sj,2012,32,21
sj,2012,33,16
sj,2012,34,28
sj,2012,35,28
sj,2012,36,17
sj,2012,37,13
sj,2012,38,26
sj,2012,39,28
sj,2012,40,18
sj,2012,41,29
sj,2012,42,31
sj,2012,43,29
sj,2012,44,17
sj,2012,45,22
sj,2012,46,51
sj,2012,47,28
sj,2012,48,30
sj,2012,49,22
sj,2012,50,3
sj,2012,51,19
sj,2013,1,15
sj,2013,2,7
sj,2013,3,13
sj,2013,4,9
sj,2013,5,14
sj,2013,6,17
sj,2013,7,20
sj,2013,8,9
sj,2013,9,8
sj,2013,10,1
sj,2013,11,14
sj,2013,12,9
sj,2013,13,11
sj,2013,14,47
sj,2013,15,17
sj,2013,16,27
sj,2013,17,13
iq,2010,26,13
iq,2010,27,6
iq,2010,28,11
iq,2010,29,0
iq,2010,30,-3
iq,2010,31,8
iq,2010,32,5
iq,2010,33,1
iq,2010,34,4
iq,2010,35,0
iq,2010,36,7
iq,2010,37,1
iq,2010,38,-1
iq,2010,39,1
iq,2010,40,8
iq,2010,41,3
iq,2010,42,20
iq,2010,43,10
iq,2010,44,7
iq,2010,45,7
iq,2010,46,7
iq,2010,47,2
iq,2010,48,4
iq,2010,49,3
iq,2010,50,9
iq,2010,51,4
iq,2011,52,8
iq,2011,1,8
iq,2011,2,6
iq,2011,3,3
iq,2011,4,5
iq,2011,5,2
iq,2011,6,11
iq,2011,7,8
iq,2011,8,13
iq,2011,9,5
iq,2011,10,3
iq,2011,11,5
iq,2011,12,5
iq,2011,13,7
iq,2011,14,7
iq,2011,15,8
iq,2011,16,5
iq,2011,17,0
iq,2011,18,2
iq,2011,19,0
iq,2011,20,10
iq,2011,21,9
iq,2011,22,5
iq,2011,23,7
iq,2011,24,10
iq,2011,25,-1
iq,2011,26,8
iq,2011,27,9
iq,2011,28,3
iq,2011,29,2
iq,2011,30,9
iq,2011,31,4
iq,2011,32,8
iq,2011,33,2
iq,2011,34,-1
iq,2011,35,3
iq,2011,36,2
iq,2011,37,9
iq,2011,38,13
iq,2011,39,0
iq,2011,40,0
iq,2011,41,8
iq,2011,42,3
iq,2011,43,10
iq,2011,44,7
iq,2011,45,14
iq,2011,46,6
iq,2011,47,4
iq,2011,48,9
iq,2011,49,10
iq,2011,50,5
iq,2011,51,7
iq,2012,52,7
iq,2012,1,7
iq,2012,2,11
iq,2012,3,8
iq,2012,4,4
iq,2012,5,7
iq,2012,6,8
iq,2012,7,8
iq,2012,8,6
iq,2012,9,9
iq,2012,10,8
iq,2012,11,10
iq,2012,12,5
iq,2012,13,5
iq,2012,14,14
iq,2012,15,0
iq,2012,16,8
iq,2012,17,14
iq,2012,18,5
iq,2012,19,1
iq,2012,20,7
iq,2012,21,4
iq,2012,22,4
iq,2012,23,5
iq,2012,24,6
iq,2012,25,3
iq,2012,26,8
iq,2012,27,3
iq,2012,28,14
iq,2012,29,5
iq,2012,30,3
iq,2012,31,-1
iq,2012,32,-1
iq,2012,33,2
iq,2012,34,3
iq,2012,35,8
iq,2012,36,2
iq,2012,37,2
iq,2012,38,3
iq,2012,39,7
iq,2012,40,7
iq,2012,41,12
iq,2012,42,1
iq,2012,43,3
iq,2012,44,4
iq,2012,45,5
iq,2012,46,5
iq,2012,47,11
iq,2012,48,6
iq,2012,49,1
iq,2012,50,4
iq,2012,51,5
iq,2013,1,1
iq,2013,2,8
iq,2013,3,7
iq,2013,4,7
iq,2013,5,7
iq,2013,6,4
iq,2013,7,12
iq,2013,8,7
iq,2013,9,25
iq,2013,10,6
iq,2013,11,5
iq,2013,12,11
iq,2013,13,12
iq,2013,14,7
iq,2013,15,8
iq,2013,16,7
iq,2013,17,12
iq,2013,18,1
iq,2013,19,10
iq,2013,20,6
iq,2013,21,5
iq,2013,22,1
iq,2013,23,-1
iq,2013,24,8
iq,2013,25,5
iq,2013,26,3
