city,year,weekofyear,total_cases
sj,2008,18,25
sj,2008,19,16
sj,2008,20,14
sj,2008,21,15
sj,2008,22,22
sj,2008,23,24
sj,2008,24,22
sj,2008,25,19
sj,2008,26,16
sj,2008,27,15
sj,2008,28,15
sj,2008,29,15
sj,2008,30,16
sj,2008,31,14
sj,2008,32,28
sj,2008,33,15
sj,2008,34,24
sj,2008,35,20
sj,2008,36,28
sj,2008,37,23
sj,2008,38,23
sj,2008,39,23
sj,2008,40,27
sj,2008,41,17
sj,2008,42,24
sj,2008,43,25
sj,2008,44,16
sj,2008,45,23
sj,2008,46,16
sj,2008,47,21
sj,2008,48,18
sj,2008,49,13
sj,2008,50,15
sj,2008,51,17
sj,2008,52,17
sj,2009,1,15
sj,2009,2,15
sj,2009,3,15
sj,2009,4,19
sj,2009,5,19
sj,2009,6,17
sj,2009,7,20
sj,2009,8,19
sj,2009,9,13
sj,2009,10,20
sj,2009,11,20
sj,2009,12,17
sj,2009,13,16
sj,2009,14,14
sj,2009,15,15
sj,2009,16,15
sj,2009,17,16
sj,2009,18,14
sj,2009,19,14
sj,2009,20,21
sj,2009,21,24
sj,2009,22,24
sj,2009,23,18
sj,2009,24,21
sj,2009,25,22
sj,2009,26,19
sj,2009,27,16
sj,2009,28,20
sj,2009,29,16
sj,2009,30,18
sj,2009,31,20
sj,2009,32,17
sj,2009,33,16
sj,2009,34,25
sj,2009,35,21
sj,2009,36,21
sj,2009,37,26
sj,2009,38,22
sj,2009,39,22
sj,2009,40,21
sj,2009,41,25
sj,2009,42,21
sj,2009,43,17
sj,2009,44,15
sj,2009,45,16
sj,2009,46,21
sj,2009,47,23
sj,2009,48,22
sj,2009,49,16
sj,2009,50,16
sj,2009,51,18
sj,2009,52,15
sj,2010,53,19
sj,2010,1,18
sj,2010,2,18
sj,2010,3,23
sj,2010,4,15
sj,2010,5,15
sj,2010,6,15
sj,2010,7,15
sj,2010,8,20
sj,2010,9,18
sj,2010,10,21
sj,2010,11,20
sj,2010,12,14
sj,2010,13,15
sj,2010,14,13
sj,2010,15,17
sj,2010,16,22
sj,2010,17,24
sj,2010,18,17
sj,2010,19,21
sj,2010,20,22
sj,2010,21,21
sj,2010,22,24
sj,2010,23,20
sj,2010,24,15
sj,2010,25,24
sj,2010,26,26
sj,2010,27,18
sj,2010,28,20
sj,2010,29,24
sj,2010,30,25
sj,2010,31,17
sj,2010,32,24
sj,2010,33,24
sj,2010,34,21
sj,2010,35,23
sj,2010,36,24
sj,2010,37,24
sj,2010,38,20
sj,2010,39,19
sj,2010,40,26
sj,2010,41,24
sj,2010,42,17
sj,2010,43,15
sj,2010,44,22
sj,2010,45,24
sj,2010,46,22
sj,2010,47,17
sj,2010,48,17
sj,2010,49,15
sj,2010,50,19
sj,2010,51,23
sj,2011,52,13
sj,2011,1,18
sj,2011,2,16
sj,2011,3,14
sj,2011,4,15
sj,2011,5,15
sj,2011,6,15
sj,2011,7,17
sj,2011,8,19
sj,2011,9,13
sj,2011,10,13
sj,2011,11,15
sj,2011,12,17
sj,2011,13,14
sj,2011,14,15
sj,2011,15,15
sj,2011,16,16
sj,2011,17,14
sj,2011,18,20
sj,2011,19,13
sj,2011,20,23
sj,2011,21,23
sj,2011,22,25
sj,2011,23,22
sj,2011,24,23
sj,2011,25,21
sj,2011,26,24
sj,2011,27,26
sj,2011,28,18
sj,2011,29,22
sj,2011,30,24
sj,2011,31,21
sj,2011,32,24
sj,2011,33,15
sj,2011,34,23
sj,2011,35,23
sj,2011,36,17
sj,2011,37,20
sj,2011,38,24
sj,2011,39,22
sj,2011,40,19
sj,2011,41,18
sj,2011,42,15
sj,2011,43,20
sj,2011,44,18
sj,2011,45,24
sj,2011,46,21
sj,2011,47,26
sj,2011,48,18
sj,2011,49,22
sj,2011,50,24
sj,2011,51,17
sj,2012,52,18
sj,2012,1,15
sj,2012,2,17
sj,2012,3,15
sj,2012,4,18
sj,2012,5,18
sj,2012,6,15
sj,2012,7,15
sj,2012,8,20
sj,2012,9,15
sj,2012,10,13
sj,2012,11,14
sj,2012,12,22
sj,2012,13,24
sj,2012,14,23
sj,2012,15,14
sj,2012,16,21
sj,2012,17,15
sj,2012,18,17
sj,2012,19,21
sj,2012,20,19
sj,2012,21,17
sj,2012,22,15
sj,2012,23,14
sj,2012,24,14
sj,2012,25,19
sj,2012,26,16
sj,2012,27,16
sj,2012,28,22
sj,2012,29,15
sj,2012,30,18
sj,2012,31,16
sj,2012,32,28
sj,2012,33,22
sj,2012,34,17
sj,2012,35,25
sj,2012,36,15
sj,2012,37,15
sj,2012,38,14
sj,2012,39,17
sj,2012,40,19
sj,2012,41,15
sj,2012,42,23
sj,2012,43,19
sj,2012,44,19
sj,2012,45,15
sj,2012,46,26
sj,2012,47,17
sj,2012,48,18
sj,2012,49,19
sj,2012,50,18
sj,2012,51,17
sj,2013,1,17
sj,2013,2,15
sj,2013,3,16
sj,2013,4,15
sj,2013,5,16
sj,2013,6,18
sj,2013,7,19
sj,2013,8,15
sj,2013,9,14
sj,2013,10,15
sj,2013,11,17
sj,2013,12,15
sj,2013,13,18
sj,2013,14,26
sj,2013,15,16
sj,2013,16,17
sj,2013,17,20
iq,2010,26,6
iq,2010,27,3
iq,2010,28,8
iq,2010,29,1
iq,2010,30,1
iq,2010,31,6
iq,2010,32,6
iq,2010,33,3
iq,2010,34,2
iq,2010,35,2
iq,2010,36,5
iq,2010,37,6
iq,2010,38,1
iq,2010,39,4
iq,2010,40,5
iq,2010,41,3
iq,2010,42,6
iq,2010,43,7
iq,2010,44,9
iq,2010,45,3
iq,2010,46,3
iq,2010,47,5
iq,2010,48,5
iq,2010,49,5
iq,2010,50,6
iq,2010,51,2
iq,2011,52,5
iq,2011,1,5
iq,2011,2,6
iq,2011,3,1
iq,2011,4,2
iq,2011,5,9
iq,2011,6,6
iq,2011,7,5
iq,2011,8,5
iq,2011,9,10
iq,2011,10,3
iq,2011,11,6
iq,2011,12,5
iq,2011,13,7
iq,2011,14,5
iq,2011,15,7
iq,2011,16,3
iq,2011,17,2
iq,2011,18,4
iq,2011,19,2
iq,2011,20,7
iq,2011,21,8
iq,2011,22,3
iq,2011,23,2
iq,2011,24,6
iq,2011,25,4
iq,2011,26,6
iq,2011,27,4
iq,2011,28,1
iq,2011,29,5
iq,2011,30,6
iq,2011,31,5
iq,2011,32,4
iq,2011,33,3
iq,2011,34,2
iq,2011,35,1
iq,2011,36,3
iq,2011,37,11
iq,2011,38,8
iq,2011,39,8
iq,2011,40,5
iq,2011,41,4
iq,2011,42,3
iq,2011,43,8
iq,2011,44,5
iq,2011,45,6
iq,2011,46,3
iq,2011,47,7
iq,2011,48,5
iq,2011,49,5
iq,2011,50,9
iq,2011,51,6
iq,2012,52,1
iq,2012,1,5
iq,2012,2,6
iq,2012,3,6
iq,2012,4,3
iq,2012,5,7
iq,2012,6,5
iq,2012,7,5
iq,2012,8,7
iq,2012,9,7
iq,2012,10,10
iq,2012,11,7
iq,2012,12,2
iq,2012,13,1
iq,2012,14,6
iq,2012,15,2
iq,2012,16,5
iq,2012,17,10
iq,2012,18,6
iq,2012,19,4
iq,2012,20,5
iq,2012,21,4
iq,2012,22,6
iq,2012,23,3
iq,2012,24,2
iq,2012,25,4
iq,2012,26,6
iq,2012,27,2
iq,2012,28,2
iq,2012,29,3
iq,2012,30,0
iq,2012,31,2
iq,2012,32,1
iq,2012,33,5
iq,2012,34,8
iq,2012,35,4
iq,2012,36,5
iq,2012,37,1
iq,2012,38,2
iq,2012,39,6
iq,2012,40,1
iq,2012,41,10
iq,2012,42,3
iq,2012,43,7
iq,2012,44,5
iq,2012,45,3
iq,2012,46,5
iq,2012,47,9
iq,2012,48,8
iq,2012,49,4
iq,2012,50,2
iq,2012,51,7
iq,2013,1,4
iq,2013,2,9
iq,2013,3,8
iq,2013,4,5
iq,2013,5,8
iq,2013,6,4
iq,2013,7,10
iq,2013,8,4
iq,2013,9,8
iq,2013,10,4
iq,2013,11,5
iq,2013,12,6
iq,2013,13,4
iq,2013,14,5
iq,2013,15,5
iq,2013,16,9
iq,2013,17,6
iq,2013,18,4
iq,2013,19,6
iq,2013,20,10
iq,2013,21,4
iq,2013,22,4
iq,2013,23,2
iq,2013,24,5
iq,2013,25,3
iq,2013,26,2
